candidate_id,rank,score,reasoning
CAND_0077337,1,0.7003,"Staff Machine Learning Engineer with 7.0yrs exp; production ML/retrieval background; Kochi, Kerala-based. Strong GitHub activity (score 68)."
CAND_0002025,2,0.6814,"Senior AI Engineer with 5.9yrs exp; production ML/retrieval background; Trivandrum, Kerala-based. Strong GitHub activity (score 97)."
CAND_0088025,3,0.6627,"Staff Machine Learning Engineer with 8.6yrs exp; production ML/retrieval background; Jaipur, Rajasthan-based. Strong GitHub activity (score 75)."
CAND_0005538,4,0.6625,"Senior AI Engineer with 5.9yrs exp; production ML/retrieval background; Kolkata, West Bengal-based."
CAND_0018499,5,0.6605,"Senior Machine Learning Engineer with 7.2yrs exp; production ML/retrieval background; Noida, Uttar Pradesh-based. Strong GitHub activity (score 95)."
CAND_0081846,6,0.6461,"Lead AI Engineer with 6.7yrs exp; production ML/retrieval background; Jaipur, Rajasthan-based."
CAND_0046525,7,0.6455,"Senior Machine Learning Engineer with 6.1yrs exp; production ML/retrieval background; Pune, Maharashtra-based."
CAND_0011687,8,0.6331,"Senior NLP Engineer with 7.8yrs exp; production ML/retrieval background; Indore, Madhya Pradesh-based. Strong GitHub activity (score 76)."
CAND_0071974,9,0.6291,"Senior AI Engineer with 7.8yrs exp; production ML/retrieval background; Vizag, Andhra Pradesh-based. Strong GitHub activity (score 83)."
CAND_0005260,10,0.6245,"Senior NLP Engineer with 5.2yrs exp; production ML/retrieval background; Chennai, Tamil Nadu-based."
CAND_0039754,11,0.6085,"Senior Applied Scientist with 16.2yrs exp; production ML/retrieval background; Indore, Madhya Pradesh-based. Strong GitHub activity (score 78)."
CAND_0010257,12,0.6052,"Senior Data Scientist with 6.5yrs exp; production ML/retrieval background; Noida, Uttar Pradesh-based. Notice period 120d is a consideration."
CAND_0043860,13,0.6024,"Junior ML Engineer with 6.1yrs exp; production ML/retrieval background; Bhubaneswar, Odisha-based."
CAND_0046064,14,0.5954,"Senior NLP Engineer with 8.9yrs exp; production ML/retrieval background; Coimbatore, Tamil Nadu-based. Strong GitHub activity (score 67)."
CAND_0079387,15,0.5930,"AI Engineer with 6.9yrs exp; production ML/retrieval background; Trivandrum, Kerala-based. Strong GitHub activity (score 64)."
CAND_0074225,16,0.5900,"Machine Learning Engineer with 4.3yrs exp; production ML/retrieval background; Vizag, Andhra Pradesh-based. Notice period 120d is a consideration."
CAND_0061655,17,0.5888,"Machine Learning Engineer with 4.6yrs exp; production ML/retrieval background; Jaipur, Rajasthan-based."
CAND_0079064,18,0.5886,"Senior Data Scientist with 5.2yrs exp; production ML/retrieval background; Noida, Uttar Pradesh-based. Notice period 120d is a consideration."
CAND_0068351,19,0.5880,"Lead AI Engineer with 6.4yrs exp; production ML/retrieval background; Delhi, Delhi-based."
CAND_0096142,20,0.5866,"Applied ML Engineer with 5.0yrs exp; production ML/retrieval background; Hyderabad, Telangana-based. Notice period 120d is a consideration."
CAND_0064326,21,0.5862,"Search Engineer with 7.6yrs exp; production ML/retrieval background; Gurgaon, Haryana-based. Strong GitHub activity (score 61)."
CAND_0057563,22,0.5859,"NLP Engineer with 6.8yrs exp; production ML/retrieval background; Indore, Madhya Pradesh-based."
CAND_0044855,23,0.5857,"Senior Data Scientist with 6.6yrs exp; production ML/retrieval background; Coimbatore, Tamil Nadu-based."
CAND_0028793,24,0.5852,"Search Engineer with 7.2yrs exp; production ML/retrieval background; Trivandrum, Kerala-based. Notice period 120d is a consideration."
CAND_0052682,25,0.5852,"NLP Engineer with 6.6yrs exp; production ML/retrieval background; Vizag, Andhra Pradesh-based. Note: inactive 73d."
CAND_0030031,26,0.5825,"AI Engineer with 5.7yrs exp; production ML/retrieval background; Trivandrum, Kerala-based."
CAND_0044222,27,0.5807,"AI Engineer with 7.7yrs exp; production ML/retrieval background; Vizag, Andhra Pradesh-based."
CAND_0076163,28,0.5798,"NLP Engineer with 6.9yrs exp; production ML/retrieval background; Chandigarh, Chandigarh-based. Strong GitHub activity (score 85)."
CAND_0093912,29,0.5796,"Senior Data Scientist with 5.3yrs exp; production ML/retrieval background; Chandigarh, Chandigarh-based. Strong GitHub activity (score 82)."
CAND_0086022,30,0.5788,"Senior Applied Scientist with 5.3yrs exp; production ML/retrieval background; Kolkata, West Bengal-based. Strong GitHub activity (score 75)."
CAND_0042506,31,0.5756,"Search Engineer with 4.2yrs exp; production ML/retrieval background; Mumbai, Maharashtra-based. Strong GitHub activity (score 64)."
CAND_0042029,32,0.5747,"Senior Data Scientist with 6.5yrs exp; production ML/retrieval background; Delhi, Delhi-based. Strong GitHub activity (score 79)."
CAND_0008425,33,0.5729,"Senior NLP Engineer with 7.8yrs exp; production ML/retrieval background; Kolkata, West Bengal-based."
CAND_0033445,34,0.5700,"ML Engineer with 6.8yrs exp; production ML/retrieval background; Ahmedabad, Gujarat-based."
CAND_0007412,35,0.5697,"Applied ML Engineer with 7.4yrs exp; production ML/retrieval background; Noida, Uttar Pradesh-based. Notice period 120d is a consideration."
CAND_0054100,36,0.5689,"Junior ML Engineer with 6.0yrs exp; production ML/retrieval background; Kolkata, West Bengal-based. Strong GitHub activity (score 73)."
CAND_0016163,37,0.5687,"Applied ML Engineer with 6.7yrs exp; production ML/retrieval background; Gurgaon, Haryana-based. Notice period 120d is a consideration."
CAND_0084819,38,0.5664,"Search Engineer with 4.5yrs exp; production ML/retrieval background; Indore, Madhya Pradesh-based. Notice period 120d is a consideration."
CAND_0067866,39,0.5658,"Senior Software Engineer (ML) with 6.4yrs exp; production ML/retrieval background; Noida, Uttar Pradesh-based."
CAND_0055905,40,0.5657,Senior Machine Learning Engineer with 8.1yrs exp; production ML/retrieval background; London-based.
CAND_0095528,41,0.5634,"Senior Data Scientist with 5.3yrs exp; production ML/retrieval background; Indore, Madhya Pradesh-based."
CAND_0049896,42,0.5618,"Search Engineer with 7.3yrs exp; production ML/retrieval background; Vizag, Andhra Pradesh-based."
CAND_0072688,43,0.5604,"Data Scientist with 6.9yrs exp; production ML/retrieval background; Pune, Maharashtra-based."
CAND_0030784,44,0.5598,"Data Scientist with 4.4yrs exp; production ML/retrieval background; Delhi, Delhi-based."
CAND_0030468,45,0.5595,"Senior Applied Scientist with 5.4yrs exp; production ML/retrieval background; Indore, Madhya Pradesh-based."
CAND_0080766,46,0.5592,"Staff Machine Learning Engineer with 8.8yrs exp; production ML/retrieval background; Coimbatore, Tamil Nadu-based. Note: inactive 61d."
CAND_0050876,47,0.5586,"Applied ML Engineer with 6.0yrs exp; production ML/retrieval background; Kolkata, West Bengal-based. Strong GitHub activity (score 86)."
CAND_0004972,48,0.5581,"ML Engineer with 6.0yrs exp; production ML/retrieval background; Gurgaon, Haryana-based."
CAND_0054123,49,0.5576,"Applied ML Engineer with 4.7yrs exp; production ML/retrieval background; Gurgaon, Haryana-based. Strong GitHub activity (score 72)."
CAND_0075574,50,0.5561,"Machine Learning Engineer with 5.7yrs exp; production ML/retrieval background; Bangalore, Karnataka-based."
CAND_0098846,51,0.5557,"AI Engineer with 7.6yrs exp; production ML/retrieval background; Indore, Madhya Pradesh-based. Strong GitHub activity (score 86)."
CAND_0078002,52,0.5554,"Machine Learning Engineer with 6.3yrs exp; production ML/retrieval background; Coimbatore, Tamil Nadu-based."
CAND_0015582,53,0.5552,"ML Engineer with 4.4yrs exp; production ML/retrieval background; Trivandrum, Kerala-based. Notice period 120d is a consideration."
CAND_0033179,54,0.5537,"AI Research Engineer with 6.9yrs exp; production ML/retrieval background; Ahmedabad, Gujarat-based."
CAND_0065195,55,0.5519,"Search Engineer with 5.1yrs exp; production ML/retrieval background; Kolkata, West Bengal-based. Strong GitHub activity (score 87)."
CAND_0006418,56,0.5510,"Machine Learning Engineer with 5.7yrs exp; production ML/retrieval background; Gurgaon, Haryana-based. Note: inactive 70d."
CAND_0006557,57,0.5504,"NLP Engineer with 7.9yrs exp; production ML/retrieval background; Jaipur, Rajasthan-based. Notice period 120d is a consideration."
CAND_0049540,58,0.5504,"ML Engineer with 6.8yrs exp; production ML/retrieval background; Trivandrum, Kerala-based."
CAND_0036437,59,0.5479,"Search Engineer with 4.8yrs exp; production ML/retrieval background; Kolkata, West Bengal-based."
CAND_0010603,60,0.5478,"ML Engineer with 5.3yrs exp; production ML/retrieval background; Bangalore, Karnataka-based. Strong GitHub activity (score 79)."
CAND_0093763,61,0.5458,"Senior Software Engineer (ML) with 5.0yrs exp; production ML/retrieval background; Noida, Uttar Pradesh-based."
CAND_0099965,62,0.5444,"Junior ML Engineer with 4.6yrs exp; production ML/retrieval background; Kochi, Kerala-based. Notice period 120d is a consideration."
CAND_0070525,63,0.5443,"Senior Software Engineer (ML) with 5.4yrs exp; production ML/retrieval background; Hyderabad, Telangana-based."
CAND_0005649,64,0.5433,"Senior Data Scientist with 7.4yrs exp; production ML/retrieval background; Delhi, Delhi-based. Strong GitHub activity (score 81)."
CAND_0070202,65,0.5432,"Machine Learning Engineer with 5.1yrs exp; production ML/retrieval background; Jaipur, Rajasthan-based."
CAND_0067535,66,0.5427,"Junior ML Engineer with 6.8yrs exp; production ML/retrieval background; Jaipur, Rajasthan-based."
CAND_0053591,67,0.5426,AI Engineer with 5.3yrs exp; production ML/retrieval background; Toronto-based. Strong GitHub activity (score 76).
CAND_0074735,68,0.5425,"Applied ML Engineer with 5.5yrs exp; production ML/retrieval background; Chandigarh, Chandigarh-based. Note: inactive 73d."
CAND_0004402,69,0.5421,"AI Research Engineer with 6.0yrs exp; production ML/retrieval background; Delhi, Delhi-based."
CAND_0064256,70,0.5409,"Junior ML Engineer with 6.4yrs exp; production ML/retrieval background; Kolkata, West Bengal-based."
CAND_0006567,71,0.5404,"Senior AI Engineer with 7.9yrs exp; production ML/retrieval background; Noida, Uttar Pradesh-based."
CAND_0009691,72,0.5399,"Applied ML Engineer with 6.2yrs exp; production ML/retrieval background; Indore, Madhya Pradesh-based. Notice period 120d is a consideration."
CAND_0039383,73,0.5385,"Applied ML Engineer with 7.1yrs exp; production ML/retrieval background; Gurgaon, Haryana-based. Note: inactive 82d."
CAND_0037566,74,0.5373,"Machine Learning Engineer with 6.9yrs exp; production ML/retrieval background; Bangalore, Karnataka-based. Strong GitHub activity (score 73)."
CAND_0096209,75,0.5369,"ML Engineer with 4.2yrs exp; production ML/retrieval background; Trivandrum, Kerala-based."
CAND_0081852,76,0.5368,"Senior Data Scientist with 5.9yrs exp; production ML/retrieval background; Delhi, Delhi-based. Strong GitHub activity (score 88)."
CAND_0002344,77,0.5362,"Senior Software Engineer (ML) with 4.7yrs exp; production ML/retrieval background; Chennai, Tamil Nadu-based. Notice period 120d is a consideration."
CAND_0061257,78,0.5350,"Staff Machine Learning Engineer with 8.0yrs exp; production ML/retrieval background; Noida, Uttar Pradesh-based."
CAND_0012957,79,0.5344,"Search Engineer with 4.9yrs exp; production ML/retrieval background; Chennai, Tamil Nadu-based. Notice period 120d is a consideration."
CAND_0062247,80,0.5344,"AI Engineer with 7.3yrs exp; production ML/retrieval background; Kochi, Kerala-based."
CAND_0050454,81,0.5338,"AI Engineer with 6.8yrs exp; production ML/retrieval background; Delhi, Delhi-based."
CAND_0099806,82,0.5338,"AI Engineer with 4.6yrs exp; production ML/retrieval background; Bhubaneswar, Odisha-based. Strong GitHub activity (score 87)."
CAND_0096172,83,0.5335,"NLP Engineer with 5.2yrs exp; production ML/retrieval background; Chennai, Tamil Nadu-based. Strong GitHub activity (score 65)."
CAND_0078785,84,0.5330,"AI Research Engineer with 6.3yrs exp; production ML/retrieval background; Chandigarh, Chandigarh-based. Notice period 120d is a consideration."
CAND_0020877,85,0.5327,"Applied ML Engineer with 5.1yrs exp; production ML/retrieval background; Gurgaon, Haryana-based. Note: inactive 67d."
CAND_0030953,86,0.5314,"Search Engineer with 7.8yrs exp; production ML/retrieval background; Chennai, Tamil Nadu-based."
CAND_0012805,87,0.5310,"Data Scientist with 4.9yrs exp; production ML/retrieval background; Ahmedabad, Gujarat-based. Notice period 120d is a consideration."
CAND_0086154,88,0.5298,"Data Scientist with 6.8yrs exp; production ML/retrieval background; Ahmedabad, Gujarat-based."
CAND_0010149,89,0.5297,"ML Engineer with 6.9yrs exp; production ML/retrieval background; Bangalore, Karnataka-based."
CAND_0001610,90,0.5294,"Machine Learning Engineer with 3.0yrs exp; production ML/retrieval background; Trivandrum, Kerala-based."
CAND_0094482,91,0.5288,Junior ML Engineer with 6.4yrs exp; production ML/retrieval background; Singapore-based.
CAND_0044883,92,0.5287,AI Engineer with 6.3yrs exp; production ML/retrieval background; Berlin-based. Strong GitHub activity (score 70).
CAND_0043637,93,0.5286,"Junior ML Engineer with 5.5yrs exp; production ML/retrieval background; Delhi, Delhi-based."
CAND_0093547,94,0.5282,"Senior Machine Learning Engineer with 2.9yrs exp; production ML/retrieval background; Coimbatore, Tamil Nadu-based."
CAND_0079284,95,0.5277,"Machine Learning Engineer with 4.9yrs exp; production ML/retrieval background; Hyderabad, Telangana-based."
CAND_0081053,96,0.5274,"NLP Engineer with 5.4yrs exp; production ML/retrieval background; Chandigarh, Chandigarh-based. Note: inactive 70d."
CAND_0029367,97,0.5272,"Senior Data Scientist with 5.7yrs exp; production ML/retrieval background; Bangalore, Karnataka-based."
CAND_0016659,98,0.5269,"ML Engineer with 4.4yrs exp; production ML/retrieval background; Coimbatore, Tamil Nadu-based."
CAND_0083852,99,0.5267,"Data Scientist with 6.0yrs exp; production ML/retrieval background; Ahmedabad, Gujarat-based. Strong GitHub activity (score 71)."
CAND_0066376,100,0.5264,"Applied ML Engineer with 5.7yrs exp; production ML/retrieval background; Mumbai, Maharashtra-based."
